Probe,SMILES,pKd
ARCAM 4,O=C(NCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(N3CCCCC3C)C=C2C=C1,5.36
MC-N-1,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCN(C)C)=C(CCC/3)/C=C(C#N)\C#N,7.16
5b2,CN1C2=CC(Cl)=CC=C2SC3=C1C=CC(/C=C/C=C/C4C(N(CC(OC(C)(C)C)=O)C(S4)=S)=O)=C3,6.78
CRANAD-102,F[B-]1(F)OC(/C=C/C(C=C2)=CN=C2N(CC)CC)=C(CCCOC3=C(C)C=CC=C3C)C(/C=C/C4=CC=C(N=C4)N(CC)CC)=[O+]1,8.12
LDMD,CCN(CC)C1=CC=C2C(OC(/C(CCC3)=C/C4=CC=C(N5CCCCC5)C=C4)C3=C2C6=C(C(O)=O)C=CC=C6)=C1,6.17
4c,F[B-]1(F)[N+]2=CC3=C(C=CC=C3)C=C2N=C(/C=C/C=C/C(C=C4)=CC=C4N(C)C)O1,7.46
THK-265,O=C1C(/C=C/C=C/C=C2C(NC(NC\2=O)=S)=O)=C(O)NC(N1)=S,7.01
1,F[B-]1(F)OC(/C=C/C=C2N(C)C3=C(C=CC=C3)C/2(C)C)=CC(/C=C/C(C=N4)=CC=C4N(CC)CC)=[O+]1,7.81
PdzNO-2,CN(C)C1=CC=C(/C=C/C=C/C2=NC3=CC=CN=[N+]3[B-](F)(F)O2)C=C1,7.69
8a,CN(C)C1=CC=C(/C=C/C2=[O+][B-](F)(F)OC(/C=C/C3=CC=CC(O)=C3)=C2)C=C1,6.91
13b,CN(C)C1=CC=C2C(C=CC(/C=C/C=C(C#N)/C(OCCOCCOCCO)=O)=C2)=C1,7.31
DADNIR-2,CN(C)C1=CC=C(/C=C/C=C(/C=C/C(C#N)=C/C=C/C(C=C2)=CC=C2N(C)C)C#N)C=C1,8.98
QNO-AD-3,CN(C1=CC=CC=C1N=C2/C=C/C3=CC=C(C4=CC=C(C=C4)N(C)C)S3)C2=O,7.62
2,CN(C)C(C=C1)=CC=C1/C=C/C=C/C2=CC=[N+](C)C=C2,5.34
8d,CN(C)C1=CC=C2C(C=CC(/C=C/C=C/C=C/C=C(C#N)/C(OCCOC)=O)=C2)=C1,7.64
PHTZ-3a,O=C(N(CC(OCC)=O)CC(OCC)=O)CN(C(S/1)=S)C(C1=C/C2=CC3=C(C=C2)N(C)C4=CC=CC=C4S3)=O,7.33
3g,CN(C)C1=CC(OC)=C(/C=C/C=C/C=C(C#N)/C(OCC2=CC=NC=C2)=O)C(OC)=C1,6.3
2b,F[B-]1(F)[N+]2=C3C(C=CC=C3)=CC=C2N=C(/C=C/C(C=C4)=CC=C4N(C)C)O1,8.33
b,O=C(/C(C1)=C/C2=CC=C(N(C)C)C=C2)C3=C1C=C(OCCOCC(F)(F)F)C=C3,6.78
Q16,CN(C)C1=CC=C(/C=C/C2=[N+](C)C3=C(C=CC=C3)S2)C=C1,7.57
QAD1,FC(C(C1=CC(C=CC(N(CCO)CCO)=C2)=C2N1)=C(C(F)=C3C4=CC(C=CC(N(CCO)CCO)=C5)=C5N4)F)=C3F,7.79
15,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC2=CC=C(NCN3CCOCC3)C=C2C=C1,4.86
EUA-3,CN(C1=CC=C(C=C1)/C=C/C2=C(C=C3)[N+]([B-](F)(F)N4C(/C=C/C5=CC=C(OC)C=C5)=CC=C42)=C3/C=C/C6=CC=C(OC)C=C6)C,6.49
3b,CN(C)C1=CC=C(C2=CC=C(/C=C/C=C(C#N)/C#N)C=C2)N=C1,7.43
8b,CN(C)C1=CC=C(/C=C/C2=[O+][B-](F)(F)OC(/C=C/C3=CC=C(O)C=C3)=C2)C=C1,7.04
Q19,C[N+](C(C=CC(Cl)=C1)=C1S2)=C2/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3,7.12
BAOP-2,CC(C=C1C)=C2N1[B-](F)(F)[N+]3=C(/C=C/C4=CC=C(N(C)C)C=C4)C=CC3=C2,6.7
pTP-TFE,OC(C(F)(F)F)C1=CC=C(C2=CC(CC(C(F)(F)F)O)=C(C3=CC=C(C4=C(CC(O)C(F)(F)F)C=C(C5=CC=C(C(O)C(F)(F)F)S5)S4)S3)S2)S1,6.23
